feature,real_mean,real_std,real_skew,real_kurtosis,synthetic_mean,synthetic_std,synthetic_skew,synthetic_kurtosis
mCNA_CNA_001,-0.4703726542927955,,,,-0.47028144326230253,0.0007682772283576003,-0.15423585544807836,0.3226184596520678
mCNA_CNA_002,-0.6388778482433419,,,,-0.6390695984968027,0.0007665933170269403,-0.145589406772566,-0.6917027854453672
mCNA_CNA_003,-0.2751422512266837,,,,-0.27519348019548945,0.0010040402240168106,0.4954182423555922,0.5184516762964977
mCNA_CNA_004,1.494941311234396,,,,1.49497127652756,0.0009628158221574602,0.3952643738473003,-0.6691607542405933
mCNA_CNA_005,-0.8658311156932432,,,,-0.8659525646484504,0.0011543637509508389,0.6905747831785893,0.190002242454395
mCNA_CNA_006,0.9682783545914808,,,,0.9682751330212878,0.0008836442643833458,-0.27208390987806697,1.1154960004756127
mCNA_CNA_007,-1.6828697716158048,,,,-1.6827348569223894,0.0010713186831084463,-0.3391786624271969,-0.6675390415591078
mCNA_CNA_008,-0.3348850299857748,,,,-0.33481496369525976,0.000960776393213171,-0.3725615566061825,0.14423886984625245
mCNA_CNA_009,0.1627530651050056,,,,0.16262629439440016,0.0009594733844379258,-0.23074187244669472,-0.5285366764741468
mCNA_CNA_010,0.5862223313592781,,,,0.5862593330052939,0.0010304794836722892,0.16861561534081543,0.18348193448018524
